district_name,demand_total,mean_time_min,p50_time_min,p90_time_min,share_5min,share_10min,share_15min
Северное Бутово,7326709.868244737,10.791847985262214,10.260080729754996,16.208102657362172,0.155547727545628,0.4984610533435579,0.830321339244279
Крылатское,6121359.376200877,133.40663098443557,132.33197107671225,147.4551420065312,0.0,0.0,0.0
Вешняки,5684569.048699391,136.4955032542769,135.158341918382,152.63190590950853,0.0,0.0,0.0
Тимирязевский,6686707.731336119,62.69010436548867,67.1271064627766,84.66551116715095,0.0,0.0,0.0
Братеево,5575880.857393113,48.629473504825036,47.696783538722585,57.32789599500706,0.0,0.0,0.0
Внуковское,8606709.357133873,154.04647080910536,151.19119867548392,169.1107182183,0.0,0.0,0.0
Ясенево,10279508.069647923,76.36449599408982,76.8000588392102,89.0139139521944,0.0,0.0,0.0
Москворечье-Сабурово,5239547.774524052,69.69224662031465,69.92993566377406,76.62445875294243,0.0,0.0,0.0
Гольяново,11975369.820058962,190.43590492319728,192.6073266955821,209.37109906900943,0.0,0.0,0.0
Бирюлёво Восточное,10044513.81221866,27.134026152699818,30.072508881690634,48.007870898427505,0.0725963484899848,0.2967552581621056,0.3511226628000223
Бирюлёво Западное,3151495.557558257,37.05113404734779,37.10788030367288,47.85978556313373,0.0,0.0,0.0
Московский,11975789.846245144,125.67278972467756,142.91657241525652,163.44572789225847,0.0,0.0,0.0
Ивановское,6664367.841183914,191.06329970790566,190.95969157726262,208.01799846775202,0.0,0.0,0.0
Печатники,4198821.658323508,60.056825352787364,58.93114185673474,68.96334816230186,0.0,0.0,0.0
Троицк,3780987.10375794,212.4795936490795,208.37302084094674,231.0931592134727,0.0,0.0,0.0
Восточный,344719.7687056765,248.44879674529648,247.53990518505708,252.65672457393222,0.0,0.0,0.0
Первомайское,401080.3332680615,327.574381821538,327.7519937701655,345.47736447555496,0.0,0.0,0.0
Метрогородок,3190085.7187915524,136.7995829220658,144.62692943357055,153.24530765701158,0.0,0.0,0.0
Люблино,12481375.730603572,32.58466198922027,31.55687534760073,43.24126846442798,0.0,0.0,0.0
Внуково,704658.1935699431,197.1004112083637,188.92429612953578,210.58098461310524,0.0,0.0,0.0
Десёновское,4607022.582499371,153.05507585421677,152.90580008524498,185.4785891315125,0.0,0.0,0.0
Кунцево,11876496.881437957,108.11402794938937,106.08506537867396,125.84135700617324,0.0,0.0,0.0
Новофёдоровское,332769.7141911032,658.1387541698297,660.1012829427111,664.8305509552881,0.0,0.0,0.0
Капотня,1113892.190295785,62.58470297612571,60.80477458039674,68.05297834476188,0.0,0.0,0.0
Щаповское,58663.83114889708,246.24334275415518,246.24334275415518,246.24334275415518,0.0,0.0,0.0
