district_id,district_name,area_km2,competitor_cnt,competitor_density_km2,metro_cnt,metro_density_km2,metro_dist_m_centroid,res_buildings_cnt,res_buildings_density_km2,dormitory_cnt,cemetery_area_share
125,Преображенское,5.584666927202792,0,0.0,22,3.939357581530686,332.13499328734787,256,45.83979731235708,5,0.003836903028468871
126,Соколиная Гора,7.903975469089283,1,0.12651861128754524,21,2.65689083703845,917.9015899192971,360,45.54670006351628,5,0.0
127,Люблино,17.81768924637026,17,0.9541080083357703,9,0.5051160044130548,1136.6382071553317,448,25.143552219672063,4,0.010616049096428075
128,Текстильщики,4.796825986317006,1,0.20847118549901747,11,2.2931830404891924,346.46140449343306,338,70.46326069866791,5,0.0
129,Братеево,7.565791054523854,1,0.13217388542630512,10,1.321738854263051,14.172841276702524,96,12.68869300092529,1,0.0014035676334548134
130,Зябликово,4.598854860159545,3,0.6523363078903349,19,4.131463283305455,126.43347786428978,169,36.7482786778222,1,0.0
131,Рязанский,6.362593980225327,2,0.31433720369646645,14,2.200360425875265,657.192079955869,331,52.0228072117652,3,0.0
132,Измайлово,15.048012637133668,1,0.0664539580151814,20,1.329079160303628,619.2406471238476,479,31.831445889271894,8,0.0014984522635470684
133,Новогиреево,4.395283514980347,3,0.6825498263707374,12,2.7301993054829494,766.6035053567447,310,70.53014872497619,1,0.0
134,Кузьминки,7.98523252741407,2,0.25046233696186154,10,1.2523116848093077,780.188060797288,487,60.987579050213284,3,0.0
135,Гольяново,14.370240013588402,5,0.3479413005817602,5,0.3479413005817602,1515.8579443440085,380,26.443538844213776,0,4.480440747377913e-06
136,Северное Измайлово,4.163471829469013,1,0.24018416383221564,5,1.2009208191610783,443.6262100953555,310,74.45709078798684,0,0.0
137,Капотня,8.09841987352582,1,0.12348087844507234,0,0.0,2816.2571916203246,74,9.137585004935353,0,0.002119820598309238
138,Выхино-Жулебино,15.136709201405358,11,0.7267101358450297,30,1.9819367341228085,1035.4988502439633,577,38.119249852962014,3,0.029591740900707833
139,Восточный,3.5096545794224663,0,0.0,0,0.0,4403.369048820435,62,17.66555613863358,0,0.0
140,Восточное Измайлово,3.8183858732770752,2,0.5237815313525472,0,0.0,1425.2386345881862,248,64.94890988771586,6,0.0
141,Ивановское,10.126764811746826,6,0.5924893202852042,0,0.0,2204.073625635839,242,23.897069251503233,0,0.0006056916720953619
142,Косино-Ухтомский,15.296759641697419,3,0.19611996725256137,9,0.588359901757684,638.5270319524274,1404,91.78414467419871,1,1.569813293950494e-05
143,Новокосино,3.7748962555251238,1,0.2649079424464582,4,1.0596317697858328,432.7410915389178,180,47.683429640362476,0,0.0
144,Некрасовка,11.325491621165465,1,0.08829638778162759,12,1.059556653379531,867.0130088550474,210,18.542241434141793,0,0.0
145,Кунцево,52.808731913556606,5,0.09468131157143811,10,0.18936262314287622,11196.428096542615,563,10.661115682943931,2,4.537912437918179e-05
