district_name,res_buildings_density_km2_contrib,walk_reach_nodes_10min_point_contrib,metro_walk_time_s_point_contrib,competitor_density_km2_contrib,dormitory_cnt_contrib,cemetery_area_share_contrib,index_score_0_1,index_rank,top3_contrib
Сокольники,0.06986301369863013,0.16095890410958905,0.06027397260273973,0.12842465753424656,0.048972602739726034,0.036815068493150686,0.5053082191780821,75.0,"walk_reach_nodes_10min_point=0.161, competitor_density_km2=0.128, res_buildings_density_km2=0.070"
Рязановское,0.297945205479452,0.05136986301369863,0.026027397260273966,0.10582191780821916,0.012157534246575343,0.009246575342465752,0.5025684931506849,76.0,"res_buildings_density_km2=0.298, competitor_density_km2=0.106, walk_reach_nodes_10min_point=0.051"
Южное Тушино,0.18082191780821916,0.1558219178082192,0.08904109589041097,0.010273972602739734,0.028595890410958905,0.036815068493150686,0.5013698630136986,77.0,"res_buildings_density_km2=0.181, walk_reach_nodes_10min_point=0.156, metro_walk_time_s_point=0.089"
Воскресенское,0.2773972602739726,0.046232876712328765,0.013698630136986313,0.12842465753424656,0.012157534246575343,0.0226027397260274,0.500513698630137,78.0,"res_buildings_density_km2=0.277, competitor_density_km2=0.128, walk_reach_nodes_10min_point=0.046"
Чертаново Центральное,0.1047945205479452,0.11986301369863013,0.18904109589041096,0.05753424657534246,0.012157534246575343,0.014726027397260272,0.4981164383561643,79.0,"metro_walk_time_s_point=0.189, walk_reach_nodes_10min_point=0.120, res_buildings_density_km2=0.105"
Ярославский,0.0821917808219178,0.1095890410958904,0.12054794520547946,0.12842465753424656,0.04160958904109589,0.01267123287671233,0.49503424657534245,80.0,"competitor_density_km2=0.128, metro_walk_time_s_point=0.121, walk_reach_nodes_10min_point=0.110"
Орехово-Борисово Южное,0.11712328767123287,0.22945205479452055,0.11369863013698632,0.005136986301369867,0.012157534246575343,0.01438356164383562,0.4919520547945206,81.0,"walk_reach_nodes_10min_point=0.229, res_buildings_density_km2=0.117, metro_walk_time_s_point=0.114"
Восточное Дегунино,0.17876712328767125,0.125,0.1,0.03595890410958903,0.012157534246575343,0.036815068493150686,0.48869863013698633,82.0,"res_buildings_density_km2=0.179, walk_reach_nodes_10min_point=0.125, metro_walk_time_s_point=0.100"
Останкинский,0.03698630136986301,0.2465753424657534,0.05890410958904109,0.09760273972602738,0.028595890410958905,0.010273972602739729,0.4789383561643835,83.0,"walk_reach_nodes_10min_point=0.247, competitor_density_km2=0.098, metro_walk_time_s_point=0.059"
Люблино,0.08835616438356164,0.1780821917808219,0.14931506849315068,0.01643835616438356,0.04160958904109589,0.00445205479452055,0.47825342465753423,84.0,"walk_reach_nodes_10min_point=0.178, metro_walk_time_s_point=0.149, res_buildings_density_km2=0.088"
