district_name,demand_total_base,share_10min_base,share_15min_base,mean_time_min_base,p50_time_min_base,p90_time_min_base,demand_total_mean,share_10min_mean,share_15min_mean,mean_time_min_mean,p50_time_min_mean,p90_time_min_mean,demand_total_eff,share_10min_eff,share_15min_eff,mean_time_min_eff,p50_time_min_eff,p90_time_min_eff,demand_total_keep,share_10min_keep,share_15min_keep,mean_time_min_keep,p50_time_min_keep,p90_time_min_keep,delta_mean_minus_base,delta_eff_minus_base,delta_keep_minus_base,delta_share10_mean_minus_base,delta_share10_eff_minus_base,delta_share10_keep_minus_base
Дмитровский,6949039.810069964,0.28224618852767425,0.4274498891429103,17.039918193497208,16.211485742486857,27.901617350017567,6949039.810069964,0.0,0.0,47.79979335933295,46.38131658130211,60.72149430151467,6949039.810069964,0.28224618852767425,0.4274498891429103,17.039918193497208,16.211485742486857,27.901617350017567,6949039.810069964,0.0,0.0,47.79979335933295,46.38131658130211,60.72149430151467,30.759875165835744,0.0,30.759875165835744,-0.28224618852767425,0.0,-0.28224618852767425
Соколиная Гора,5612142.264979302,0.0,0.0,73.84022870705527,74.87064009097975,88.69171004743582,5612142.264979302,0.0,0.0,41.88831209831011,40.71744791106008,58.65429176745676,5612142.264979302,0.0,0.0,41.88831209831011,40.71744791106008,58.65429176745676,5612142.264979302,0.0,0.0,41.88831209831011,40.71744791106008,58.65429176745676,-31.951916608745165,-31.951916608745165,-31.951916608745165,0.0,0.0,0.0
Хорошёвский,8705399.698859362,0.0,0.0,135.27799191725842,139.30282869277127,145.5366883176426,8705399.698859362,0.0,0.0673833691837448,32.37234602328026,34.95794899032807,40.9214719316165,8705399.698859362,0.0,0.0,39.51035318008741,40.15704461710321,50.85991366473028,8705399.698859362,0.0,0.0,39.59310191617113,40.15704461710321,50.85991366473028,-102.90564589397816,-95.76763873717101,-95.6848900010873,0.0,0.0,0.0
Таганский,10257600.0496048,0.0,0.0,142.92551254070625,143.64461614359035,148.58245048840914,10257600.0496048,0.252259546241896,0.5063354445999739,14.914187598252242,14.676453046926321,24.915977812352512,10257600.0496048,0.252259546241896,0.5063354445999739,15.170582178933342,14.676453046926321,25.182623191971462,10257600.0496048,0.252259546241896,0.5063354445999739,15.170582178933342,14.676453046926321,25.182623191971462,-128.011324942454,-127.7549303617729,-127.7549303617729,0.252259546241896,0.252259546241896,0.252259546241896
Отрадное,12742071.675342137,0.13511826567032667,0.24450418563859724,22.755481326187184,24.413483705237645,34.647907391057295,12742071.675342137,0.18383263179947446,0.27668128352364996,22.199868693835015,21.379378893657172,36.31320093897841,12742071.675342137,0.18383263179947446,0.27668128352364996,22.18492500020652,21.379378893657172,36.31320093897841,12742071.675342137,0.18383263179947446,0.27668128352364996,22.18492500020652,21.379378893657172,36.31320093897841,-0.5556126323521688,-0.5705563259806645,-0.5705563259806645,0.048714366129147785,0.048714366129147785,0.048714366129147785
Щербинка,4490664.236838415,0.0,0.0,83.50141911907946,82.25967508781609,93.22016395003044,4490664.236838415,0.0,0.0,180.00000000000003,180.0,180.0,4490664.236838415,0.0,0.0,180.00000000000003,180.0,180.0,4490664.236838415,0.0,0.0,180.00000000000003,180.0,180.0,96.49858088092057,96.49858088092057,96.49858088092057,0.0,0.0,0.0
Котловка,3801777.0266051125,0.0,0.0,46.01991208246432,48.281661744848506,56.99969638108927,3801777.0266051125,0.0,0.0,53.630513928323644,55.03034858079389,60.547825834806865,3801777.0266051125,0.08454121616531333,0.18979042842066346,20.50531745078692,20.52366848650613,29.42665286219964,3801777.0266051125,0.0,0.0,53.41671786772282,54.456080691100645,59.549033004410894,7.610601845859321,-25.514594631677404,7.396805785258493,0.0,0.08454121616531333,0.0
Зябликово,5824778.143054005,0.0,0.0,64.719666572001,66.45078356448168,74.35039483044838,5824778.143054005,0.0,0.0,113.58687335619919,115.31799034867996,123.2176016146466,5824778.143054005,0.0,0.0,124.94710394375915,126.67099790042207,134.47552378921645,5824778.143054005,0.0,0.0,124.94710394375915,126.67099790042207,134.47552378921645,48.86720678419819,60.22743737175814,60.22743737175814,0.0,0.0,0.0
Косино-Ухтомский,4900433.958094571,0.0,0.0,42.20427664349219,38.93428098337681,62.6092006991793,4900433.958094571,0.0,0.0,86.24201192082501,88.85833951790674,96.04258404335108,4900433.958094571,0.0,0.0,83.89732747904115,86.2479795322387,93.43222405768302,4900433.958094571,0.0,0.0,83.89732747904115,86.2479795322387,93.43222405768302,44.037735277332814,41.69305083554896,41.69305083554896,0.0,0.0,0.0
Коньково,10215091.529898692,0.27856221799981684,0.4974498633739296,15.556355201118222,15.009149445017805,27.43283448171557,10215091.529898692,0.0,0.0,62.30646802978636,61.804008687079055,74.75936145055101,10215091.529898692,0.0,0.0,62.456641523265546,62.15198347114207,74.75936145055101,10215091.529898692,0.0,0.0,62.456641523265546,62.15198347114207,74.75936145055101,46.750112828668136,46.90028632214732,46.90028632214732,-0.27856221799981684,-0.27856221799981684,-0.27856221799981684
