district_name,demand_total_base,share_10min_base,share_15min_base,mean_time_min_base,p50_time_min_base,p90_time_min_base,demand_total_mean,share_10min_mean,share_15min_mean,mean_time_min_mean,p50_time_min_mean,p90_time_min_mean,delta_share_10min,delta_share_15min,delta_mean_time_min,delta_p50_time_min,delta_p90_time_min
Обручевский,9781926.685325896,0.3235083476001201,0.49475167389470437,15.76003124128365,15.246532829679934,29.78277325292383,9781926.685325896,0.0,0.07079705401274884,32.92180576253123,30.95584503152863,51.524157100194955,-0.3235083476001201,-0.42395461988195554,17.16177452124758,15.709312201848695,21.741383847271127
Донской,3584678.3036292866,0.0,0.0,72.47595484732534,72.44702481939339,83.49802640930491,3584678.3036292866,0.07065897235120298,0.19937191310627395,30.256926415277224,27.863312467085063,47.80299938423785,0.07065897235120298,0.19937191310627395,-42.21902843204812,-44.583712352308325,-35.69502702506706
Северное Медведково,6563282.836935932,0.0,0.0,66.59021537877094,67.33803832287933,78.08554222510568,6563282.836935932,0.0,0.0,50.64138283187185,50.63015402216577,57.82710581851157,0.0,0.0,-15.948832546899084,-16.70788430071356,-20.258436406594114
Раменки,22220499.35609049,0.2034400865703715,0.3246600733927099,24.380063056923802,23.356010384395884,45.88204315925136,22220499.35609049,0.0,0.006628569319889,48.36226539537443,44.689811638877764,72.20641530503893,-0.2034400865703715,-0.31803150407282094,23.982202338450627,21.33380125448188,26.32437214578757
Восточное Измайлово,3895881.535002626,0.1376669944944755,0.40354158424058384,17.446612447820186,16.19138536490923,25.509097028276173,3895881.535002626,0.0,0.0,46.577714943198536,45.94715932669529,53.06431351644111,-0.1376669944944755,-0.40354158424058384,29.13110249537835,29.755773961786062,27.555216488164938
Чертаново Южное,9134735.639485681,0.0,0.0,88.95768404102778,89.25325375271899,104.57141754498004,9134735.639485681,0.0,0.0,84.76318351108559,83.86373138810293,100.41555090701716,0.0,0.0,-4.194500529942189,-5.389522364616056,-4.155866637962873
"""Мосрентген""",1174104.951819368,0.0,0.0,74.97430087971817,77.93863693306176,85.1036677082001,1174104.951819368,0.0,0.0,100.30149536130038,101.98386456359773,111.212955903224,0.0,0.0,25.32719448158221,24.045227630535976,26.109288195023893
Марьино,18152059.184323013,0.20124211419262103,0.37247549975922184,21.291040380305482,17.817939004458523,42.941219135997315,18152059.184323013,0.0,0.0,61.03579065667199,60.48394238564759,80.34049249803259,-0.20124211419262103,-0.37247549975922184,39.74475027636651,42.666003381189064,37.399273362035274
Сокольники,3997886.2746288846,0.0,0.0,104.75435447660269,104.42894960960909,117.02727683233906,3997886.2746288846,0.0,0.017787796724756697,32.35735541810405,31.908098870815632,45.62294807416728,0.0,0.017787796724756697,-72.39699905849864,-72.52085073879346,-71.40432875817177
Богородское,8087881.337194677,0.0,0.0,88.02746346601852,89.17623208785245,98.71540464629203,8087881.337194677,0.0,0.014677958931776888,31.74067455591526,31.752500187565794,41.198437439237516,0.0,0.014677958931776888,-56.286788910103255,-57.42373190028666,-57.51696720705451
Тёплый Стан,8339917.254841121,0.0,0.0,40.94470941797861,43.41303215026083,56.18777866691199,8339917.254841121,0.0,0.0,72.58178241597228,73.59860997043765,90.53495105234907,0.0,0.0,31.637072997993677,30.185577820176817,34.347172385437084
Чертаново Центральное,5872728.049740038,0.0,0.0,81.4653982730868,80.90088177238616,94.29186103015965,5872728.049740038,0.0,0.0,54.715723783246865,56.32097411956336,65.25805619832879,0.0,0.0,-26.74967448983994,-24.579907652822797,-29.033804831830864
Нагорный,4683993.4223268125,0.0,0.0,51.43310991818253,51.88146097153254,57.14466530344149,4683993.4223268125,0.06743870750553385,0.28362534325987854,23.279379921781963,20.121903396105953,40.82910560848741,0.06743870750553385,0.28362534325987854,-28.153729996400568,-31.759557575426587,-16.315559694954082
Нагатинский Затон,7174525.209114202,0.0,0.0,103.92732047120607,104.77919731409347,111.31737280700456,7174525.209114202,0.0,0.0,50.84232376143826,50.27446925101092,66.83751539140096,0.0,0.0,-53.084996709767815,-54.504728063082545,-44.479857415603604
Ново-Переделкино,6292061.974023979,0.0,0.0,116.38410369360807,117.57143199343054,127.86114990204565,6292061.974023979,0.0,0.0,130.7012364353794,131.8500637089286,142.1397816175437,0.0,0.0,14.317132741771331,14.27863171549805,14.278631715498037
